,model_type,region,baseline_response,training_score,testing_score,baseline,model_success,best_params
147,xgb,Europe,no accomodation,0.95958751393534,0.9314954051796157,0.9220480668756531,no,{'xg__max_depth': 2}
148,xgb,Europe,no arrests,0.9927536231884058,0.9264828738512949,0.8854754440961338,no,{'xg__max_depth': None}
149,xgb,Europe,no beatings,0.9905239687848384,0.9615705931495405,0.967816091954023,no,{'xg__max_depth': 2}
150,xgb,Europe,no crowd_dispersal,0.9902452619843924,0.8922305764411027,0.7684430512016719,yes,{'xg__max_depth': None}
151,xgb,Europe,ignore,0.9205685618729097,0.8462823725981621,0.6764890282131661,yes,{'xg__max_depth': 3}
152,xgb,Europe,no killings,1.0,0.9924812030075187,0.9928944618599791,no,{'xg__max_depth': None}
153,xgb,Europe,no shootings,0.9994425863991081,0.9832915622389307,0.9914315569487984,no,{'xg__max_depth': None}
154,xgb,Africa,no accomodation,0.9462081128747796,0.8837516512549538,0.8733884297520661,no,{'xg__max_depth': 2}
155,xgb,Africa,no arrests,0.996031746031746,0.8996036988110965,0.8320661157024793,yes,{'xg__max_depth': None}
156,xgb,Africa,no beatings,0.966931216931217,0.9484808454425363,0.9226446280991736,no,{'xg__max_depth': 2}
157,xgb,Africa,no crowd_dispersal,0.95326278659612,0.8282694848084544,0.5639669421487603,yes,{'xg__max_depth': 3}
158,xgb,Africa,no ignore,0.9259259259259259,0.8295904887714664,0.5857851239669422,yes,{'xg__max_depth': 3}
159,xgb,Africa,no killings,1.0,0.9299867899603699,0.8981818181818182,no,{'xg__max_depth': None}
160,xgb,Africa,no shootings,0.9620811287477954,0.916776750330251,0.871404958677686,no,{'xg__max_depth': 2}
161,xgb,Asia,no accomodation,0.9309545875810936,0.8763888888888889,0.8756080611535789,no,{'xg__max_depth': 2}
162,xgb,Asia,no arrests,0.9721964782205746,0.8611111111111112,0.8485059068797776,no,{'xg__max_depth': None}
163,xgb,Asia,no beatings,0.9698795180722891,0.9277777777777778,0.9204308547602502,no,{'xg__max_depth': 3}
164,xgb,Asia,no crowd_dispersal,0.9161260426320668,0.7902777777777777,0.7029186935371786,yes,{'xg__max_depth': 3}
165,xgb,Asia,ignore,0.8354958294717331,0.7861111111111111,0.5059068797776234,yes,{'xg__max_depth': 2}
166,xgb,Asia,no killings,0.969416126042632,0.9638888888888889,0.9444058373870744,no,{'xg__max_depth': 2}
167,xgb,Asia,no shootings,0.9800741427247451,0.9361111111111111,0.9503127171646977,no,{'xg__max_depth': 2}
168,xgb,South America,no accomodation,0.9940627650551315,0.9007633587786259,0.8867684478371501,no,{'xg__max_depth': None}
169,xgb,South America,no arrests,0.9499575911789653,0.8829516539440203,0.8842239185750637,no,{'xg__max_depth': 2}
170,xgb,South America,no beatings,1.0,0.9821882951653944,0.9872773536895675,no,{'xg__max_depth': None}
171,xgb,South America,no crowd_dispersal,0.9338422391857506,0.8371501272264631,0.6762086513994912,yes,{'xg__max_depth': 3}
172,xgb,South America,ignore,0.8914334181509754,0.7862595419847328,0.5674300254452926,yes,{'xg__max_depth': 3}
173,xgb,South America,no killings,0.996607294317218,0.9440203562340967,0.9472010178117048,no,{'xg__max_depth': None}
174,xgb,South America,no shootings,0.9889737065309584,0.9541984732824428,0.9713740458015268,no,{'xg__max_depth': 2}
175,xgb,MENA,no accomodation,1.0,0.922509225092251,0.9168207024029575,no,{'xg__max_depth': None}
176,xgb,MENA,no arrests,0.969173859432799,0.8634686346863468,0.8428835489833642,no,{'xg__max_depth': 3}
177,xgb,MENA,no beatings,0.9716399506781751,0.8929889298892989,0.9131238447319778,no,{'xg__max_depth': 2}
178,xgb,MENA,no crowd_dispersal,0.9297163995067818,0.8007380073800738,0.6913123844731978,yes,{'xg__max_depth': 2}
179,xgb,MENA,no ignore,0.9161528976572133,0.7970479704797048,0.5600739371534196,yes,{'xg__max_depth': 2}
